locus	sex	_sex	log2fluor	Foldx	scaffold	start location
FBtr0167617	male	female	-1.2404	0.423255289	90	3039
FBtr0167618	male	female	-1.4659	0.362009635	90	6179
FBtr0164713	male	female	-0.9533	0.51644979	290	993
FBtr0161981	male	female	-0.7385	0.599362198	312	1119
FBtr0168294	male	female	-1.4373	0.369257723	406	1114
FBtr0167921	male	female	-0.9097	0.532295768	436	774
FBtr0163438	male	female	-1.4375	0.369206536	587	212
FBtr0163549	male	female	-1.1734	0.443375206	587	929
FBtr0172083	male	female	-0.7587	0.591028662	677	116
FBtr0165317	male	female	-1.6433	0.320123391	916	1046
FBtr0164726	male	female	-0.8225	0.565461224	1118	21
FBtr0174742	male	female	-0.6368	0.643137893	1282	1007
FBtr0161595	male	female	0.7379	1.667746484	1394	976
FBtr0161611	male	female	1.5169	2.861754671	1460	946
FBtr0165300	male	female	-0.6131	0.653790355	1493	761
FBtr0164881	male	female	-0.6627	0.631694975	1496	1387
FBtr0165212	male	female	4.2158	18.58156358	1519	702
FBtr0161604	male	female	1.0899	2.128592817	1547	1255
FBtr0172591	male	female	3.8575	14.4951665	1571	24
FBtr0161614	male	female	1.0507	2.071534719	1722	7614
FBtr0172123	male	female	-0.6576	0.633932	1723	4219
FBtr0161610	male	female	1.7646	3.397797796	1741	6093
FBtr0166742	male	female	0.7361	1.665666993	1745	2967
FBtr0165643	male	female	0.7346	1.663936064	1759	3747
FBtr0161984	male	female	-1.3975	0.379586345	1779	732
FBtr0161985	male	female	-1.4128	0.375582045	1779	3245
FBtr0169041	male	female	3.044	8.24774655	1796	57
FBtr0161978	male	female	1.0866	2.123729469	1801	457
FBtr0172592	male	female	1.1323	2.192079316	1834	3768
FBtr0161596	male	female	0.5885	1.503682524	1895	11402
FBtr0165245	male	female	1.571	2.971105841	1995	54
FBtr0172108	male	female	1.2593	2.393795651	2326	6
FBtr0164975	male	female	-0.8858	0.541187342	2403	1330
FBtr0162014	male	female	2.2313	4.695569028	2628	2812
FBtr0166736	male	female	0.8961	1.861028308	2672	1420
FBtr0163766	male	female	1.3556	2.559035214	2804	4869
FBtr0161996	male	female	1.9091	3.755747309	2826	695
FBtr0165298	male	female	0.6109	1.527211636	2923	78
FBtr0172077	male	female	4.8574	28.98832361	3030	98
FBtr0161606	male	female	-1.1738	0.443252293	3083	97
FBtr0161979	male	female	0.8326	1.780891965	3089	6364
FBtr0169040	male	female	0.7142	1.640573238	3205	233
FBtr0165234	male	female	1.2756	2.420994833	3436	825
